Title,Description,Director,Publication_Year,Runtime,Genre
Il postino,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford,1994,108 min,"Biography, Comedy, Drama"
Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,1994,92 min,Comedy
Short Cuts,The day-to-day lives of several suburban Los Angeles residents.,Robert Altman,1993,188 min,"Comedy, Drama"
Philadelphia,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,1993,125 min,Drama
The Muppet Christmas Carol,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Brian Henson,1992,85 min,"Comedy, Drama, Family"
Malcolm X,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",Spike Lee,1992,202 min,"Biography, Drama, History"
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,1992,112 min,"Action, Adventure, Drama"
Kurenai no buta,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Hayao Miyazaki,1992,94 min,"Animation, Adventure, Comedy"
Glengarry Glen Ross,An examination of the machinations behind the scenes at a real estate office.,James Foley,1992,100 min,"Crime, Drama, Mystery"
A Few Good Men,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Rob Reiner,1992,138 min,"Drama, Thriller"
Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,1991,130 min,Drama
Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Joel Coen,1991,116 min,"Comedy, Drama, Thriller"
Miller's Crossing,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen,1990,115 min,"Crime, Drama, Thriller"
Who Framed Roger Rabbit,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Robert Zemeckis,1988,104 min,"Animation, Adventure, Comedy"
Spoorloos,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",George Sluizer,1988,107 min,"Mystery, Thriller"
Withnail & I,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Bruce Robinson,1987,107 min,"Comedy, Drama"
The Last Emperor,The story of the final Emperor of China.,Bernardo Bertolucci,1987,163 min,"Biography, Drama, History"
Empire of the Sun,A young English boy struggles to survive under Japanese occupation during World War II.,Steven Spielberg,1987,153 min,"Action, Drama, History"
Der Name der Rose,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Jean-Jacques Annaud,1986,130 min,"Crime, Drama, Mystery"
Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",David Lynch,1986,120 min,"Drama, Mystery, Thriller"
